PIN;Name;Vorname;E-Mail;Aktive Vertragsnummern
1000000804;Krieger;Arthur;Arthur.Krieger@test.de;
1000000804;Krieger;Arthur;Arthur.Krieger@test.de;
1000000026;Möbius;Karlheinz;Karlheinz.Möbius@test.de;
1000000026;Möbius;Karlheinz;Karlheinz.Möbius@test.de;
1000000026;Möbius;Karlheinz;Karlheinz.Möbius@test.de;43721
1000000026;Möbius;Karlheinz;Karlheinz.Möbius@test.de;43721
1000000042;Holzapfel;Rudolf;Rudolf.Holzapfel@test.de;
1000000042;Holzapfel;Rudolf;Rudolf.Holzapfel@test.de;
1000000042;Holzapfel;Rudolf;Rudolf.Holzapfel@test.de;39231
1000000042;Holzapfel;Rudolf;Rudolf.Holzapfel@test.de;39231
1000000044;Bruhn;Ursula;Ursula.Bruhn@test.de;
1000000044;Bruhn;Ursula;Ursula.Bruhn@test.de;
1000000044;Bruhn;Ursula;Ursula.Bruhn@test.de;40942
1000000044;Bruhn;Ursula;Ursula.Bruhn@test.de;40942
1000000087;Kamp;Helene;Helene.Kamp@test.de;
1000000087;Kamp;Helene;Helene.Kamp@test.de;
1000000087;Kamp;Helene;Helene.Kamp@test.de;46856
1000000087;Kamp;Helene;Helene.Kamp@test.de;46856
1000000092;Kober;Hildegard;Hildegard.Kober@test.de;
1000000092;Kober;Hildegard;Hildegard.Kober@test.de;
1000000092;Kober;Hildegard;Hildegard.Kober@test.de;
1000000092;Kober;Hildegard;Hildegard.Kober@test.de;
1000000092;Kober;Hildegard;Hildegard.Kober@test.de;
1000000092;Kober;Hildegard;Hildegard.Kober@test.de;45321
1000000092;Kober;Hildegard;Hildegard.Kober@test.de;45321
1000000092;Kober;Hildegard;Hildegard.Kober@test.de;45323
1000000092;Kober;Hildegard;Hildegard.Kober@test.de;45323
1000000110;Färber;Maria;Maria.Färber@test.de;
1000000110;Färber;Maria;Maria.Färber@test.de;38014
1000000116;Raschke;Richard;Richard.Raschke@test.de;
1000000116;Raschke;Richard;Richard.Raschke@test.de;
1000000116;Raschke;Richard;Richard.Raschke@test.de;
1000000116;Raschke;Richard;Richard.Raschke@test.de;
1000000116;Raschke;Richard;Richard.Raschke@test.de;45410
1000000116;Raschke;Richard;Richard.Raschke@test.de;45410
1000000116;Raschke;Richard;Richard.Raschke@test.de;45412
1000000116;Raschke;Richard;Richard.Raschke@test.de;45412
1000000121;Hörmann;Waltraud;Waltraud.Hörmann@test.de;
1000000125;Kuhl;Wolfgang;Wolfgang.Kuhl@test.de;
1000000125;Kuhl;Wolfgang;Wolfgang.Kuhl@test.de;
1000000125;Kuhl;Wolfgang;Wolfgang.Kuhl@test.de;46312
1000000125;Kuhl;Wolfgang;Wolfgang.Kuhl@test.de;46312
1000000145;Hain;Erna;Erna.Hain@test.de;
1000000145;Hain;Erna;Erna.Hain@test.de;
1000000145;Hain;Erna;Erna.Hain@test.de;
1000000145;Hain;Erna;Erna.Hain@test.de;33697
1000000148;Wolfram;Frieda;Frieda.Wolfram@test.de;
1000000148;Wolfram;Frieda;Frieda.Wolfram@test.de;
1000000148;Wolfram;Frieda;Frieda.Wolfram@test.de;
1000000148;Wolfram;Frieda;Frieda.Wolfram@test.de;
1000000148;Wolfram;Frieda;Frieda.Wolfram@test.de;34649
1000000148;Wolfram;Frieda;Frieda.Wolfram@test.de;34649
1000000165;Buhl;Hermann;Hermann.Buhl@test.de;
1000000165;Buhl;Hermann;Hermann.Buhl@test.de;
1000000165;Buhl;Hermann;Hermann.Buhl@test.de;
1000000165;Buhl;Hermann;Hermann.Buhl@test.de;
1000000165;Buhl;Hermann;Hermann.Buhl@test.de;
1000000165;Buhl;Hermann;Hermann.Buhl@test.de;
1000000203;Sänger;Anneliese;Anneliese.Sänger@test.de;
1000000203;Sänger;Anneliese;Anneliese.Sänger@test.de;
1000000203;Sänger;Anneliese;Anneliese.Sänger@test.de;53717
