PIN;cagsbcid_m;Name;Vorname;Straße;Hausnr;PLZ;Ort;Vertragsbeginn;Vertragsende;Vertragsstatus;Vertragsstatus Bez;Vertragsnummer;Vertragsgegenstand;Vertrag verlängern um;Vertrag Kündigungsfrist;VP eMail
1000000804;G;Krieger;Arthur;Spreeweg;25;52062;Aachen;01.10.2011 00:00;31.12.2020 00:00;99;Vertrag ist endabgerechnet;17662;abcBiogas;12M;6W;Arthur.Krieger@test.de
1000000804;G;Krieger;Arthur;Spreeweg;25;52062;Aachen;01.10.2011 00:00;31.12.2020 00:00;99;Vertrag ist endabgerechnet;17662;abcBiogas;12M;6W;Arthur.Krieger@test.de
1000000026;AW;Möbius;Karlheinz;Sägebockweg;12;52062;Aachen;01.01.2008 00:00;19.03.2020 00:00;99;Vertrag ist endabgerechnet;43722;Abwasser Ravensburg;K;;Karlheinz.Möbius@test.de
1000000026;AW;Möbius;Karlheinz;Sägebockweg;12;52062;Aachen;01.01.2008 00:00;19.03.2020 00:00;99;Vertrag ist endabgerechnet;43722;Abwasser Ravensburg;K;;Karlheinz.Möbius@test.de
1000000026;W;Möbius;Karlheinz;Sägebockweg;12;52062;Aachen;01.01.2008 00:00;19.03.2020 00:00;99;Vertrag ist endabgerechnet;43721;abcWasser Ravensburg;K;;Karlheinz.Möbius@test.de
1000000026;W;Möbius;Karlheinz;Sägebockweg;12;52062;Aachen;01.01.2008 00:00;19.03.2020 00:00;99;Vertrag ist endabgerechnet;43721;abcWasser Ravensburg;K;;Karlheinz.Möbius@test.de
1000000042;AW;Holzapfel;Rudolf;Adlershofer Brücke;1;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;39232;Abwasser Ravensburg;K;;Rudolf.Holzapfel@test.de
1000000042;AW;Holzapfel;Rudolf;Adlershofer Brücke;1;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;39232;Abwasser Ravensburg;K;;Rudolf.Holzapfel@test.de
1000000042;W;Holzapfel;Rudolf;Adlershofer Brücke;1;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;39231;abcWasser Ravensburg Kombi;K;;Rudolf.Holzapfel@test.de
1000000042;W;Holzapfel;Rudolf;Adlershofer Brücke;1;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;39231;abcWasser Ravensburg Kombi;K;;Rudolf.Holzapfel@test.de
1000000044;AW;Bruhn;Ursula;Adlerstraße;;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;40943;Abwasser Ravensburg;K;;Ursula.Bruhn@test.de
1000000044;AW;Bruhn;Ursula;Adlerstraße;;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;40943;Abwasser Ravensburg;K;;Ursula.Bruhn@test.de
1000000044;W;Bruhn;Ursula;Adlerstraße;;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;40942;abcWasser Ravensburg;K;;Ursula.Bruhn@test.de
1000000044;W;Bruhn;Ursula;Adlerstraße;;52062;Aachen;01.01.2008 00:00;;0;Vertrag ist aktiv;40942;abcWasser Ravensburg;K;;Ursula.Bruhn@test.de
1000000087;AW;Kamp;Helene;Sarrazinstraße;2;52062;Aachen;01.01.2008 00:00;30.09.2020 00:00;99;Vertrag ist endabgerechnet;46857;Abwasser Ravensburg;K;;Helene.Kamp@test.de
1000000087;AW;Kamp;Helene;Sarrazinstraße;2;52062;Aachen;01.01.2008 00:00;30.09.2020 00:00;99;Vertrag ist endabgerechnet;46857;Abwasser Ravensburg;K;;Helene.Kamp@test.de
